StoreName,BuyDate,Number,Product,Weight(gr),UnitPrice(Toman),City,Month,Year
aghaye ahmadi,27/04/2022,12,fitness granola,380,73500,mashhad,2,1401
aghaye kamali,26/05/2022,2,choco strawberry granola,250,48750,mashhad,3,1401
aghaye kamali,26/05/2022,2,fruity granola,250,48750,mashhad,3,1401
aghaye kamali,26/05/2022,2,fitness granola,250,48750,mashhad,3,1401
aghaye kamali,26/05/2022,2,choco strawberry granola,380,73500,mashhad,3,1401
aghaye kamali,26/05/2022,2,fruity granola,380,73500,mashhad,3,1401
aghaye kamali,26/05/2022,2,fitness granola,380,73500,mashhad,3,1401
jordan plus,26/05/2022,5,fruity granola,380,68600,mashhad,3,1401
jordan plus,26/05/2022,5,fitness granola,380,68600,mashhad,3,1401
jordan plus,26/05/2022,5,choco strawberry granola,380,68600,mashhad,3,1401
aghaye ahmadi,30/05/2022,10,fitness granola,380,73500,mashhad,3,1401
protein m&m,25/06/2022,4,fruity granola,380,73500,mashhad,4,1401
protein m&m,25/06/2022,4,fitness granola,380,73500,mashhad,4,1401
protein m&m,25/06/2022,4,choco strawberry granola,380,73500,mashhad,4,1401
aghaye ahmadi,03/07/2022,10,fitness granola,380,90000,mashhad,4,1401
sabzino1 (molasadra)(besat),23/08/2022,4,fitness granola,380,87600,mashhad,6,1401
sabzino1 (molasadra)(besat),23/08/2022,4,fitness granola,600,124100,mashhad,6,1401
sabzino1 (molasadra)(besat),23/08/2022,3,choco strawberry granola,600,124100,mashhad,6,1401
sabzino1 (molasadra)(besat),23/08/2022,2,fruity granola,380,87600,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,3,fitness granola,600,124100,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,2,fitness granola,380,87600,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,3,choco strawberry granola,600,124100,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,2,choco strawberry granola,380,87600,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,3,fruity granola,600,124100,mashhad,6,1401
sabzino2 (kolahdoz),27/08/2022,3,fruity granola,380,87600,mashhad,6,1401
fayaz,27/08/2022,5,choco strawberry granola,380,90000,mashhad,6,1401
fayaz,27/08/2022,5,fruity granola,380,90000,mashhad,6,1401
zahedan protein,01/09/2022,24,choco strawberry granola,380,78000,zahedan,6,1401
zahedan protein,01/09/2022,24,fitness granola,380,78000,zahedan,6,1401
zahedan protein,01/09/2022,24,fruity granola,380,78000,zahedan,6,1401
zahedan protein,01/09/2022,6,podr mokamel choco strawberry,500,150000,zahedan,6,1401
sharee,01/09/2022,4,fitness granola,600,127500,mashhad,6,1401
sharee,01/09/2022,3,fitness granola,380,90000,mashhad,6,1401
sharee,01/07/2022,9,fitness granola,250,63750,mashhad,4,1401
sharee,10/10/2022,3,fitness granola,600,127500,mashhad,7,1401
sharee,10/10/2022,3,choco strawberry granola,600,127500,mashhad,7,1401
sharee,10/10/2022,3,fitness granola,380,90000,mashhad,7,1401
sharee,10/10/2022,3,choco strawberry granola,380,90000,mashhad,7,1401
sharee,10/10/2022,3,fitness granola,250,63750,mashhad,7,1401
sharee,10/10/2022,3,fruity granola,250,63750,mashhad,7,1401
sharee,10/10/2022,3,choco strawberry granola,250,63750,mashhad,7,1401
jordan plus,20/09/2022,6,fitness granola,380,84000,mashhad,6,1401
jordan plus,20/09/2022,6,fruity granola,380,84000,mashhad,6,1401
jordan plus,20/09/2022,6,choco strawberry granola,380,84000,mashhad,6,1401
jordan plus,20/09/2022,4,fitness granola,600,119000,mashhad,6,1401
jordan plus,20/09/2022,4,choco strawberry granola,600,119000,mashhad,6,1401
jordan plus,20/09/2022,3,fruity granola,600,119000,mashhad,6,1401
jordan plus,17/08/2022,5,fitness granola,250,59500,mashhad,5,1401
jordan plus,17/08/2022,5,fruity granola,250,59500,mashhad,5,1401
jordan plus,17/08/2022,5,choco strawberry granola,250,59500,mashhad,5,1401
jordan plus,17/08/2022,5,fitness granola,380,84000,mashhad,5,1401
jordan plus,17/08/2022,5,fruity granola,380,84000,mashhad,5,1401
jordan plus,17/08/2022,5,choco strawberry granola,380,84000,mashhad,5,1401
jordan plus,17/08/2022,5,fitness granola,600,119000,mashhad,5,1401
jordan plus,17/08/2022,5,fruity granola,600,119000,mashhad,5,1401
jordan plus,17/08/2022,5,choco strawberry granola,600,119000,mashhad,5,1401
nasim lobnan,11/10/2022,3,fitness granola,600,136000,mashhad,7,1401
nasim lobnan,11/10/2022,3,fruity granola,600,136000,mashhad,7,1401
nasim lobnan,11/10/2022,3,choco strawberry granola,600,136000,mashhad,7,1401
nasim lobnan,11/10/2022,3,fitness granola,380,96000,mashhad,7,1401
nasim lobnan,11/10/2022,3,choco strawberry granola,380,96000,mashhad,7,1401
nasim lobnan,11/10/2022,2,fruity granola,380,96000,mashhad,7,1401
sabzino1 (molasadra)(besat),28/03/2022,7,unknown granola,600,104390,mashhad,1,1401
sabzino1 (molasadra)(besat),28/03/2022,6,unknown granola,380,71540,mashhad,1,1401
sharee,04/04/2022,6,unknown granola,600,107250,mashhad,1,1401
sharee,04/04/2022,6,unknown granola,380,73500,mashhad,1,1401
sharee,04/04/2022,6,unknown granola,250,48750,mashhad,1,1401
sharee,18/04/2022,6,unknown granola,600,107250,mashhad,1,1401
sharee,18/04/2022,6,unknown granola,380,73500,mashhad,1,1401
sharee,18/04/2022,6,unknown granola,250,48750,mashhad,1,1401
sabzino1 (molasadra)(besat),25/04/2022,3,unknown granola,600,104390,mashhad,2,1401
sabzino1 (molasadra)(besat),25/04/2022,10,unknown granola,380,71540,mashhad,2,1401
sabzino2 (kolahdoz),25/04/2022,9,unknown granola,380,71540,mashhad,2,1401
fayaz,30/04/2022,5,unknown granola,600,107250,mashhad,2,1401
fayaz,30/04/2022,21,unknown granola,380,73500,mashhad,2,1401
sabzino1 (molasadra)(besat),10/05/2022,6,unknown granola,600,104390,mashhad,2,1401
sabzino2 (kolahdoz),10/05/2022,9,unknown granola,600,104390,mashhad,2,1401
sabzino2 (kolahdoz),10/05/2022,10,unknown granola,380,71540,mashhad,2,1401
sharee,18/05/2022,6,unknown granola,600,107250,mashhad,2,1401
sharee,18/05/2022,6,unknown granola,380,73500,mashhad,2,1401
sharee,18/05/2022,6,unknown granola,250,48750,mashhad,2,1401
sabzino1 (molasadra)(besat),30/05/2022,12,unknown granola,600,104390,mashhad,3,1401
sabzino1 (molasadra)(besat),30/05/2022,9,unknown granola,380,71500,mashhad,3,1401
sharee,30/05/2022,6,unknown granola,600,107250,mashhad,3,1401
sharee,30/05/2022,9,unknown granola,380,73500,mashhad,3,1401
sharee,30/05/2022,6,unknown granola,250,48750,mashhad,3,1401
protein m&m,02/06/2022,9,unknown granola,380,73500,mashhad,3,1401
protein m&m,05/06/2022,6,unknown granola,380,73500,mashhad,3,1401
sharee,23/06/2022,3,unknown granola,250,48750,mashhad,4,1401
sharee,23/06/2022,6,unknown granola,380,73500,mashhad,4,1401
sharee,23/06/2022,3,unknown granola,600,107250,mashhad,4,1401
fayaz,30/06/2022,15,unknown granola,380,73500,mashhad,4,1401
fayaz,30/06/2022,15,unknown granola,600,107250,mashhad,4,1401
sabzino2 (kolahdoz),02/07/2022,10,unknown granola,600,104390,mashhad,4,1401
sabzino2 (kolahdoz),02/07/2022,3,unknown granola,380,71540,mashhad,4,1401
aghaye ahmadi,03/07/2022,10,unknown granola,380,90000,mashhad,4,1401
sabzino1 (molasadra)(besat),04/07/2022,7,unknown granola,380,87600,mashhad,4,1401
jordan plus,09/07/2022,11,unknown granola,380,84000,mashhad,4,1401
jordan plus,14/07/2022,18,unknown granola,380,84000,mashhad,4,1401
sabzino2 (kolahdoz),30/07/2022,6,unknown granola,600,124100,mashhad,5,1401
sabzino2 (kolahdoz),30/07/2022,7,unknown granola,380,87600,mashhad,5,1401
sharee,30/07/2022,9,unknown granola,250,63750,mashhad,5,1401
sharee,30/07/2022,6,unknown granola,380,90000,mashhad,5,1401
sharee,30/07/2022,6,unknown granola,600,127500,mashhad,5,1401
fayaz,03/08/2022,30,unknown granola,600,127500,mashhad,5,1401
jordan plus,13/10/2022,15,unknown granola,600,119000,mashhad,7,1401
jordan plus,13/10/2022,13,unknown granola,380,84000,mashhad,7,1401
fayaz,12/10/2022,19,unknown granola,600,127500,mashhad,7,1401
fayaz,12/10/2022,14,unknown granola,380,90000,mashhad,7,1401
nob protein,19/10/2022,6,unknown granola,380,84000,mashhad,7,1401
top organic,19/10/2022,12,choco strawberry granola,380,84000,mashhad,7,1401
top organic,19/10/2022,4,fruity granola,380,84000,mashhad,7,1401
top organic,19/10/2022,4,fitness granola,380,84000,mashhad,7,1401
top organic,19/10/2022,4,choco strawberry granola,250,59500,mashhad,7,1401
top organic,19/10/2022,4,fruity granola,250,59500,mashhad,7,1401
top organic,19/10/2022,4,fitness granola,250,59500,mashhad,7,1401
hyper one,29/10/2022,3,choco strawberry granola,380,94000,mashhad,8,1401
hyper one,29/10/2022,3,fitness granola,380,94000,mashhad,8,1401
hyper one,29/10/2022,3,fruity granola,380,94000,mashhad,8,1401
hyper one,29/10/2022,3,choco strawberry granola,600,133000,mashhad,8,1401
hyper one,29/10/2022,3,fitness granola,600,133000,mashhad,8,1401
hyper one,29/10/2022,3,fruity granola,600,133000,mashhad,8,1401
nasim lobnan,02/11/2022,10,choco strawberry granola,380,96000,mashhad,8,1401
jordan plus,10/11/2022,4,fitness granola,250,59500,mashhad,8,1401
jordan plus,10/11/2022,4,choco strawberry granola,250,59500,mashhad,8,1401
jordan plus,10/11/2022,4,fruity granola,250,59500,mashhad,8,1401
sabzino1 (molasadra)(besat),22/11/2022,5,unknown granola,600,127500,mashhad,9,1401
sabzino1 (molasadra)(besat),22/11/2022,6,unknown granola,380,90000,mashhad,9,1401
jordan plus,27/11/2022,6,choco strawberry granola,380,84000,mashhad,9,1401
jordan plus,27/11/2022,6,fitness granola,380,84000,mashhad,9,1401
jordan plus,27/11/2022,6,fruity granola,380,84000,mashhad,9,1401
nob protein,28/11/2022,3,choco strawberry granola,380,84000,mashhad,9,1401
nob protein,28/11/2022,3,fitness granola,380,84000,mashhad,9,1401
nob protein,28/11/2022,3,fruity granola,380,84000,mashhad,9,1401
sharee,28/11/2022,3,choco strawberry granola,380,90000,mashhad,9,1401
sharee,28/11/2022,3,fitness granola,380,90000,mashhad,9,1401
sharee,28/11/2022,3,fruity granola,380,90000,mashhad,9,1401
sharee,28/11/2022,3,choco strawberry granola,600,127500,mashhad,9,1401
sharee,28/11/2022,3,fitness granola,600,127500,mashhad,9,1401
sharee,28/11/2022,2,fruity granola,600,127500,mashhad,9,1401
fayaz,14/12/2022,3,choco strawberry granola,380,90000,mashhad,9,1401
fayaz,14/12/2022,2,fitness granola,380,90000,mashhad,9,1401
fayaz,14/12/2022,3,choco strawberry granola,600,127500,mashhad,9,1401
hyper one,22/12/2022,2,fitness granola,250,68000,mashhad,10,1401
hyper one,22/12/2022,2,fruity granola,250,68000,mashhad,10,1401
hyper one,22/12/2022,2,choco strawberry granola,250,68000,mashhad,10,1401
hyper one,22/12/2022,2,fitness granola,380,96000,mashhad,10,1401
hyper one,22/12/2022,2,choco strawberry granola,380,96000,mashhad,10,1401
hyper one,22/12/2022,2,fitness granola,600,136000,mashhad,10,1401
hyper one,22/12/2022,2,fruity granola,600,136000,mashhad,10,1401
hyper one,22/12/2022,2,choco strawberry granola,600,136000,mashhad,10,1401
